country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,76802000,32,24,2,32,59,2,24020,2,1,100,2,3,35,113,15,101000
124,2011,124201101,76834000,32.1,59,2,32.1,59,2,24040,3,1,100,2,3,35,113,15,34000
124,2011,124201101,76844000,33.81,46,2,33.81,40,2,24020,2,1,100,2,3,35,112,14,3700
124,2011,124201101,76898000,32.1,59,1,32.1,65,2,42120,3,1,100,2,3,35,113,15,7300
124,2011,124201101,76954000,32.03,35,2,32.03,39,2,24020,2,3,300,1,3,35,113,15,6700
124,2011,124201101,76965000,32.42,35,2,32.42,60,2,24020,2,1,100,2,3,35,112,14,39900
124,2011,124201101,77015000,31.69,13,2,31.69,62,2,24020,2,1,100,2,3,35,114,18,38300
124,2011,124201101,77055000,32.1,59,2,32.1,45,2,24020,2,2,200,2,3,35,114,18,1800
124,2011,124201101,77088000,34.44,46,3,34.44,19,2,24020,2,1,100,2,3,35,112,14,2400
124,2011,124201101,77103000,32.1,59,1,32.1,51,2,22000,3,1,100,2,3,35,113,15,42800
124,2011,124201101,77109000,31.21,35,1,31.21,65,2,24020,2,1,100,2,3,35,113,15,19300
124,2011,124201101,77174000,32.03,35,1,32.03,39,2,41999,3,1,100,2,3,35,113,15,42200
124,2011,124201101,77212000,32.02,48,2,32.02,32,2,22000,3,1,100,2,3,35,112,14,9400
124,2011,124201101,77274000,32.03,35,2,32.03,61,2,24020,2,1,100,2,3,35,112,14,27300
124,2011,124201101,77632000,32.02,48,2,32.02,44,2,24020,2,1,100,2,3,35,112,14,51800
124,2011,124201101,77751000,32.1,59,1,32.1,46,2,33080,3,1,100,2,3,35,113,15,66400
124,2011,124201101,77764000,31.89,47,1,31.89,56,2,24020,2,1,100,2,3,35,113,15,27800
124,2011,124201101,77863000,32.03,35,2,32.03,44,2,24020,2,1,100,2,3,35,112,14,91400
124,2011,124201101,77905000,32.03,35,4,32.03,15,2,24020,2,3,300,1,3,35,114,18,200
124,2011,124201101,77972000,32.53,59,2,32.53,15,2,31032,4,2,200,2,3,35,114,18,600
124,2011,124201101,78002000,31.69,13,1,31.69,37,2,24020,2,1,100,2,3,35,112,14,26300
124,2011,124201101,78008000,32.03,35,2,32.03,47,2,39999,3,1,100,2,3,35,113,15,900
124,2011,124201101,78044000,31.96,24,1,31.96,42,2,24020,2,1,100,2,3,35,113,15,30100
124,2011,124201101,78055000,32.1,59,2,32.1,39,2,31010,3,1,100,2,3,35,113,15,0
124,2011,124201101,78058000,32.03,35,1,32.03,42,2,24020,2,1,100,2,3,35,113,15,9600
124,2011,124201101,78190000,31.96,24,2,31.96,34,2,24020,2,1,100,2,3,35,112,14,33900
124,2011,124201101,78215000,32.02,48,1,32.02,25,2,24020,2,1,100,2,3,35,112,14,3700
124,2011,124201101,78225000,107.63,48,2,107.63,57,2,24020,2,1,100,2,3,35,112,14,60800
124,2011,124201101,78265000,32.1,59,1,32.1,47,2,24020,2,1,100,2,3,35,113,15,17100
124,2011,124201101,78302000,32.03,35,2,32.03,50,2,39999,3,1,100,2,3,35,113,15,27100
124,2011,124201101,78330000,32.03,35,2,32.03,39,2,24020,2,1,100,2,3,35,113,15,0
124,2011,124201101,78358000,31.96,24,2,31.96,62,2,24020,2,1,100,2,3,35,112,14,4800
124,2011,124201101,78372000,31.96,24,1,31.96,33,2,24020,2,1,100,2,3,35,112,14,15900
124,2011,124201101,78381000,32.03,35,3,32.03,23,2,24020,2,2,200,2,3,35,113,15,2700
124,2011,124201101,78409000,32.1,59,1,32.1,45,2,24020,2,1,100,2,3,35,113,15,37100
124,2011,124201101,78420000,31.96,24,2,31.96,52,2,39999,3,1,100,2,3,35,113,15,10200
124,2011,124201101,78427000,32.02,48,2,32.02,42,2,24040,4,1,100,2,3,35,112,14,0
124,2011,124201101,78467000,32.58,47,4,32.58,42,2,24020,2,3,300,1,3,35,112,14,0
124,2011,124201101,78517000,32.03,35,2,32.03,43,2,24020,2,1,100,2,3,35,112,14,33500
